รถยนต์|汽车
รถเมล์|公交车
รถไฟ|火车
แท็กซี่|出租车
ตุ๊กตุ๊ก|突突车
มอเตอร์ไซค์|摩托车
จักรยาน|自行车
เครื่องบิน|飞机
เรือ|船
เรือด่วน|快艇
เรือข้ามฟาก|渡轮
สัญญาณไฟ|信号灯
ถนน|道路
สะพาน|桥
อุโมงค์|隧道
สี่แยก|十字路口
วงเวียน|环岛
ทางด่วน|高速公路
ทางยกระดับ|高架路
ทางด่วนพิเศษ|快速路
ถนนลาดยาง|柏油路
ถนนลูกรัง|碎石路
ทางเท้า|人行道
ไหล่ทาง|路肩
เกาะกลางถนน|中央隔离带
ป้าย|路标
ป้ายหยุด|停止标志
ป้ายจำกัดความเร็ว|限速标志
ป้ายจอดรถ|停车标志
ป้ายห้าม|禁止标志
ป้ายทางเดียว|单行道标志
ป้ายกลับรถ|掉头标志
ป้ายเลี้ยว|转弯标志
ป้ายตรง|直行标志
ป้ายไฟ|电子路牌
แผนที่|地图
แผนที่ถนน|路线图
ระยะทาง|距离
เวลาเดินทาง|行驶时间
ความเร็ว|速度
ความเร็วสูง|高速
ความเร็วต่ำ|低速
ช่องทาง|车道
ช่องทางซ้าย|左车道
ช่องทางขวา|右车道
ช่องทางตรง|直行车道
ช่องทางกลับรถ|掉头车道
เลี้ยวซ้าย|左转
เลี้ยวขวา|右转
ตรง|直行
กลับรถ|掉头
จอดรถ|停车
จอดรถข้างทาง|路边停车
จอดรถในลาน|停车场停车
จอดรถชั่วคราว|临时停车
ห้ามจอด|禁止停车
ห้ามจอดรถ|禁止停车
เสียค่าจอด|交停车费
ค่าทางด่วน|过路费
น้ำมัน|汽油
น้ำมันเบนซิน|汽油
น้ำมันดีเซล|柴油
ปั๊มน้ำมัน|加油站
เติมน้ำมัน|加油
เช็คน้ำมัน|检查油量
เช็คลมยาง|检查轮胎气压
เติมลมยาง|充气
ซ่อมรถ|修车
เปลี่ยนยาง|换轮胎
เปลี่ยนน้ำมันเครื่อง|换机油
เปลี่ยนผ้าเบรก|换刹车片
เปลี่ยนหลอดไฟ|换灯泡
ซ่อมเครื่องยนต์|修发动机
ซ่อมแอร์|修空调
ซ่อมกระจก|修窗户
ซ่อมไฟ|修灯
ล้างรถ|洗车
ทำความสะอาดรถ|清洁车辆
ดูดฝุ่นรถ|吸尘车内
ขัดสี|抛光
เคลือบสี|镀膜
ติดฟิล์ม|贴膜
ติดสติกเกอร์|贴贴纸
เปลี่ยนป้ายทะเบียน|换车牌
ต่อภาษี|续税
ต่อประกัน|续保
ตรวจสภาพรถ|年检
ทำประกัน|买保险
เคลมประกัน|理赔
อุบัติเหตุ|事故
ชน|撞
คว่ำ|翻车
ไฟไหม้|火灾
น้ำท่วม|洪水
ดินถล่ม|泥石流
พายุ|暴风雨
ลูกเห็บ|冰雹
หิมะ|雪
น้ำแข็ง|冰
ถนนลื่น|路面滑
ถนนเปียก|路面湿
ถนนแห้ง|路面干
ถนนมืด|路面暗
ถนนสว่าง|路面亮
ถนนขรุขระ|路面颠簸
ถนนราบเรียบ|路面平坦
รถบัส|公交车
รถตู้|小巴
รถแท็กซี่|出租车
รถไฟฟ้า|轻轨
รถไฟใต้ดิน|地铁
เรือเร็ว|快艇
เฮลิคอปเตอร์|直升机
ถนน|马路
ไฟแดง|红灯
ไฟเขียว|绿灯
ไฟเหลือง|黄灯
ป้ายจราจร|交通标志
ป้ายหยุด|停车标志
ขับรถ|开车
หยุดรถ|停车
ถอยหลัง|倒车
เลี้ยว|转弯
ตรงไป|直走
เปลี่ยนเลน|变道
แซง|超车
ขับช้า|慢驶
ขับเร็ว|快开
ความเร็วสูงสุด|最高速度
จำกัดความเร็ว|限速
น้ำมันเครื่อง|机油
แก๊ส|天然气
EV|电动车
ชาร์จ|充电
สถานีชาร์จ|充电站
สถานีน้ำมัน|加油站
ค่าจอดรถ|停车费
ค่าปรับ|罚款
ใบสั่ง|罚单
ประกันภัย|保险
ประกันภัยรถยนต์|车险
พ.ร.บ.|交强险
ภาษีรถ|车税
ต่อทะเบียน|续签
พรบ|交强险
สมุดคู่มือ|行驶证
ป้ายทะเบียน|车牌
 MOT|年检
ตรวจสภาพรถ|车检
ซ่อม|修理
เปลี่ยนน้ำมัน|换机油
ล้างรถอัตโนมัติ|自动洗车
ล้างรถมือ|手动洗车
จอดรถซ้าย|靠左停车
จอดรถขวา|靠右停车
ที่จอดรถ|停车场
ที่จอดรถใต้ดิน|地下停车场
ที่จอดรถบนดิน|地上停车场
ขับซ้าย|靠左行驶
ขับขวา|靠右行驶
ขับไม่ดื่ม|开车不喝酒
ดื่มไม่ขับ|喝酒不开车
เข็มขัดนิรภัย|安全带
ถุงลมนิรภัย|安全气囊
ไฟหน้า|前灯
ไฟท้าย|尾灯
ไฟเลี้ยว|转向灯
ไฟเบรก|刹车灯
กระจกมองข้าง|后视镜
กระจกบังลม|挡风玻璃
กันชน|保险杠
กระโปรงหน้า|引擎盖
ท้ายรถ|车尾
ประตูรถ|车门
รถยนต์2|汽车2
มอเตอร์ไซค์2|摩托车2
จักรยาน2|自行车2
รถบัส2|公交车2
รถตู้2|小巴2
รถแท็กซี่2|出租车2
รถไฟ2|火车2
รถไฟฟ้า2|轻轨2
รถไฟใต้ดิน2|地铁2
เรือ2|船2
เรือข้ามฟาก2|渡轮2
เรือเร็ว2|快艇2
เครื่องบิน2|飞机2
เฮลิคอปเตอร์2|直升机2
ถนน2|马路2
ทางด่วน2|高速公路2
สะพาน2|桥2
อุโมงค์2|隧道2
สี่แยก2|十字路口2
วงเวียน2|环岛2
ทางเท้า2|人行道2
ไหล่ทาง2|路肩2
เกาะกลางถนน2|中央隔离带2
ไฟแดง2|红灯2
ไฟเขียว2|绿灯2
ไฟเหลือง2|黄灯2
ป้ายจราจร2|交通标志2
ป้ายหยุด2|停车标志2
ขับรถ2|开车2
หยุดรถ2|停车2
จอดรถ2|停车2
ถอยหลัง2|倒车2
เลี้ยว2|转弯2
ตรงไป2|直走2
กลับรถ2|掉头2
เปลี่ยนเลน2|变道2
แซง2|超车2
ขับช้า2|慢驶2
ขับเร็ว2|快开2
ความเร็ว2|速度2
ความเร็วสูงสุด2|最高速度2
จำกัดความเร็ว2|限速2
น้ำมัน2|汽油2
น้ำมันเบนซิน2|汽油2
น้ำมันดีเซล2|柴油2
น้ำมันเครื่อง2|机油2
แก๊ส2|天然气2
EV2|电动车2
ชาร์จ2|充电2
สถานีชาร์จ2|充电站2
สถานีน้ำมัน2|加油站2
ค่าทางด่วน2|过路费2
ค่าจอดรถ2|停车费2
ค่าปรับ2|罚款2
ใบสั่ง2|罚单2
ประกันภัย2|保险2
ประกันภัยรถยนต์2|车险2
พ.ร.บ.2|交强险2
ภาษีรถ2|车税2
ต่อทะเบียน2|续签2
พรบ2|交强险2
สมุดคู่มือ2|行驶证2
ป้ายทะเบียน2|车牌2
 MOT2|年检2
ตรวจสภาพรถ2|车检2
ซ่อม2|修理2
เปลี่ยนยาง2|换轮胎2
เปลี่ยนน้ำมัน2|换机油2
