พ่อ|爸爸
แม่|妈妈
พี่ชาย|哥哥
พี่สาว|姐姐
น้องชาย|弟弟
น้องสาว|妹妹
ลูกชาย|儿子
ลูกสาว|女儿
ปู่|爷爷
ย่า|奶奶
ตา|外公
ยาย|外婆
ลุง|叔叔
ป้า|阿姨
อา|叔叔/阿姨
หลาน|侄子/外甥
สามี|丈夫
ภรรยา|妻子
ลูกเขย|女婿
ลูกสะใภ้|儿媳
พ่อตา|岳父
แม่ยาย|岳母
พ่อสามี|公公
แม่สามี|婆婆
เพื่อน|朋友
เพื่อนบ้าน|邻居
แฟน|男朋友/女朋友
คนรัก|恋人
คู่รัก|情侣
สามีภรรยา|夫妻
ครอบครัว|家庭
ลูก|孩子
ทารก|婴儿
เด็ก|小孩
วัยรุ่น|青少年
ผู้ใหญ่|成年人
ผู้สูงอายุ|老年人
ชาย|男人
หญิง|女人
ผู้ชาย|男性
ผู้หญิง|女性
คน|人
คนจีน|中国人
คนไทย|泰国人
คนญี่ปุ่น|日本人
คนเกาหลี|韩国人
คนอเมริกัน|美国人
คนอังกฤษ|英国人
คนฝรั่งเศส|法国人
คนเยอรมัน|德国人
คนสเปน|西班牙人
คนอิตาลี|意大利人
คนรัสเซีย|俄罗斯人
คนอินเดีย|印度人
คนมาเลเซีย|马来西亚人
คนสิงคโปร์|新加坡人
คนฟิลิปปินส์|菲律宾人
คนเวียดนาม|越南人
คนพม่า|缅甸人
คนเขมร|柬埔寨人
คนลาว|老挝人
คนอินโดนีเซีย|印度尼西亚人
นักเรียน|学生
นักศึกษา|大学生
ครู|老师
อาจารย์|教授
หมอ|医生
พยาบาล|护士
ตำรวจ|警察
ทหาร|军人
ทนาย|律师
วิศวกร|工程师
โปรแกรมเมอร์|程序员
นักออกแบบ|设计师
ช่างภาพ|摄影师
นักข่าว|记者
นักเขียน|作家
นักแสดง|演员
นักร้อง|歌手
นักกีฬา|运动员
นักบิน|飞行员
พนักงาน|员工
หัวหน้า|领导
ผู้จัดการ|经理
เจ้าของ|老板
พนักงานต้อนรับ|接待员
พนักงานเสิร์ฟ|服务员
เชฟ|厨师
คนขับรถ|司机
แม่บ้าน|清洁工
คนสวน|园丁
ช่างไม้|木匠
ช่างไฟฟ้า|电工
ช่างประปา|水管工
ช่างก่อสร้าง|建筑工人
ชาวนา|农民
ชาวประมง|渔民
พ่อค้า|商贩
แม่ค้า|女商贩
นายธนาคาร|银行家
นักลงทุน|投资者
นักธุรกิจ|商人
พนักงานออฟฟิศ|办公室职员
พนักงานขาย|销售员
พนักงานบัญชี|会计
พนักงานHR|人事员工
พนักงานIT|IT员工
พนักงานการตลาด|市场员工
พนักงานลูกค้าสัมพันธ์|客服员工
อาสาสมัคร|志愿者
ผู้ป่วย|病人
ผู้โดยสาร|乘客
นักท่องเที่ยว|游客
แขก|客人
เจ้าภาพ|主人
ผู้เข้าร่วม|参与者
ผู้ชม|观众
ผู้ฟัง|听众
ผู้อ่าน|读者
ผู้ใช้|用户
ลูกค้า|顾客
ผู้ซื้อ|买家
ผู้ขาย|卖家
ผู้ผลิต|生产者
ผู้บริโภค|消费者
ผู้ลงคะแนน|投票者
ผู้สมัคร|候选人
ผู้ชนะ|获胜者
ผู้แพ้|失败者
ผู้เข้ารอบ|入围者
ผู้เข้าชิง|提名者
ผู้ได้รับรางวัล|获奖者
ผู้ได้รับเกียรติ|获荣誉者
ผู้ได้รับเชิญ|受邀者
ผู้ได้รับมอบหมาย|被委派者
ผู้ได้รับมอบอำนาจ|被授权者
ผู้ได้รับสิทธิ์|有权者
ผู้ได้รับประโยชน์|受益者
ผู้ได้รับผลกระทบ|受影响者
ผู้ได้รับความเสียหาย|受害者
ผู้ได้รับบาดเจ็บ|受伤者
ผู้ได้รับการรักษา|接受治疗者
ผู้ได้รับการฝึกอบรม|接受培训者
ผู้ได้รับการศึกษา|接受教育者
ผู้ได้รับการดูแล|接受照顾者
ผู้ได้รับการช่วยเหลือ|接受帮助者
ผู้ได้รับการสนับสนุน|接受支持者
ผู้ได้รับการเคารพ|受尊敬者
ผู้ได้รับการยกย่อง|受赞扬者
ผู้ได้รับการยกย่องเชิดชู|受表彰者
ผู้ได้รับการสรรเสริญ|受赞扬者
ผู้ได้รับการชมเชย|受赞扬者
ผู้ได้รับการยกย่องสรรเสริญ|受赞扬者
ผู้ได้รับการยกย่องเกียรติยศ|受表彰者
ผู้ได้รับการยกย่องเกียรติ|受表彰者
ผู้ได้รับการยกย่องชื่อเสียง|受表彰者
ผู้ได้รับการยกย่องเกียรติประวัติ|受表彰者
นักกฎหมาย|法律工作者
นักวิชาการ|学者
นักวิจัย|研究员
นักวิทยาศาสตร์|科学家
นักดาราศาสตร์|天文学家
นักเคมี|化学家
นักฟิสิกส์|物理学家
นักชีววิทยา|生物学家
นักภูมิศาสตร์|地理学家
นักประวัติศาสตร์|历史学家
นักปรัชญา|哲学家
นักสังคมวิทยา|社会学家
นักจิตวิทยา|心理学家
นักเศรษฐศาสตร์|经济学家
นักการเมือง|政治家
นักการทูต|外交官
นักทหาร|军人
นักปกครอง|管理者
นักการเงิน|金融家
นักบัญชี|会计师
นักตรวจสอบ|审计师
นักทนาย|律师
นักผู้พิพากษา|法官
นักอัยการ|检察官
นักตำรวจ|警察
นักสืบสวน|侦探
นักวิศวกร|工程师
นักสถาปนิก|建筑师
นักกราฟิก|平面设计师
นักเว็บดีไซน์|网页设计师
นัก UI|UI设计师
นัก UX|UX设计师
นัก PIO|产品经理
นัก SCRUM Master|Scrum主管
นัก DevOps|运维工程师
นัก Data Scientist|数据科学家
นัก AI|人工智能工程师
นัก Machine Learning|机器学习工程师
นัก Blockchain|区块链工程师
นัก Cloud|云计算工程师
นัก Security|安全工程师
นัก Network|网络工程师
นัก System|系统工程师
นัก Database|数据库工程师
นัก Backend|后端工程师
นัก Frontend|前端工程师
นัก Full Stack|全栈工程师
นัก Mobile|移动端工程师
นัก QA|测试工程师
นัก Dev|开发工程师
นัก PM|项目经理
นัก BA|业务分析师
นัก SA|系统分析师
นัก architect|架构师
นัก consultant|顾问
นัก mentor|导师
นัก coach|教练
นัก trainer|培训师
นัก instructor|讲师
นัก facilitator|引导师
นัก mediator|调解员
นัก negotiator|谈判专家
นัก recruiter|招聘专家
นัก HR|人力资源专家
นัก training|培训专家
นัก learning|学习专家
นัก development|发展专家
นัก performance|绩效专家
นัก compensation|薪酬专家
นัก benefit|福利专家
นัก wellness|健康专家
นัก safety|安全专家
นัก compliance|合规专家
นัก risk|风险专家
นัก audit|审计专家
นัก finance|财务专家
นัก accounting|会计专家
นัก tax|税务专家
นัก legal|法律专家
นัก patent|专利专家
นัก trademark|商标专家
นัก copyright|版权专家
นัก IP|知识产权专家
นัก contract|合同专家
นัก dispute|争议专家
นัก litigation|诉讼专家
นัก arbitration|仲裁专家
นัก mediation|调解专家
นัก negotiation|谈判专家
นัก settlement|和解专家
นัก collection|催收专家
นัก recovery|回收专家
นัก enforcement|执法专家
นัก regulation|监管专家
นัก policy|政策专家
นัก government|政府专家
นัก public|公共专家
นัก civic|公民专家
นัก social|社会专家
นัก community|社区专家
นัก welfare|福利专家
นัก charity|慈善专家
นัก volunteer|志愿者专家
นัก philanthropy|慈善家
นัก humanitarian|人道主义者
นัก activist|活动家
นัก advocate|倡导者
นัก campaigner|竞选者
นัก lobbyist|说客
นัก organizer|组织者
นัก mobilizer|动员者
นัก educator|教育家
นัก teacher|教师
นัก professor|教授
นัก lecturer|讲师
นัก tutor|家教
นัก counselor|咨询师
นัก therapist|治疗师
นัก psychologist|心理学家
นัก psychiatrist|精神科医生
นัก social worker|社会工作者
นัก nurse|护士
นัก doctor|医生
นัก pharmacist|药剂师
นัก dentist|牙医
นัก optometrist|验光师
นัก chiropractor|脊椎治疗师
นัก physical therapist|物理治疗师
นัก occupational therapist|职业治疗师
นัก speech therapist|言语治疗师
นัก respiratory therapist|呼吸治疗师
นัก radiologic technologist|放射科技师
นัก surgical technologist|外科技术师
นัก medical assistant|医疗助理
นัก nursing assistant|护理助理
นัก home health aide|家庭护理员
นัก certified nursing assistant|认证护理员
นัก licensed practical nurse|执业护士
นัก registered nurse|注册护士
นัก nurse practitioner|执业护士
