บ้าน|家
คอนโด|公寓
อพาร์ทเมนต์|公寓
หอพัก|宿舍
โรงแรม|酒店
โฮสเทล|青旅
สนามบิน|机场
สถานีรถไฟ|火车站
สถานีรถบัส|汽车站
ท่าเรือ|码头
สถานีขนส่ง|客运站
โรงพยาบาล|医院
คลินิก|诊所
ร้านขายยา|药店
ธนาคาร|银行
ไปรษณีย์|邮局
ห้างสรรพสินค้า|百货公司
ซูเปอร์มาร์เก็ต|超市
ร้านสะดวกซื้อ|便利店
ตลาด|市场
ตลาดนัด|夜市
ร้านอาหาร|餐厅
ร้านกาแฟ|咖啡店
ร้านขนม|甜品店
ร้านไอศกรีม|冰淇淋店
ร้านหนังสือ|书店
ร้านเสื้อผ้า|服装店
ร้านรองเท้า|鞋店
ร้านเครื่องประดับ|珠宝店
ร้านโทรศัพท์|手机店
ร้านเฟอร์นิเจอร์|家具店
ร้านดอกไม้|花店
ร้านซักรีด|洗衣店
ร้านตัดผม|理发店
ร้านสปา|水疗店
ร้านนวด|按摩店
ร้านซ่อม|修理店
สถานีตำรวจ|警察局
สถานีดับเพลิง|消防站
ศาลากลาง|市政厅
สวนสาธารณะ|公园
สนามกีฬา|体育场
พิพิธภัณฑ์|博物馆
ห้องสมุด|图书馆
โรงละคร|剧院
โรงหนัง|电影院
โรงเรียน|学校
มหาวิทยาลัย|大学
วัด|寺庙
โบสถ์|教堂
มัสยิด|清真寺
ศาลเจ้า|神社
สำนักงาน|办公室
โรงงาน|工厂
โกดัง|仓库
ที่จอดรถ|停车场
ปั๊มน้ำมัน|加油站
ร้านซักผ้า|洗衣店
ร้านถ่ายรูป|照相馆
ร้านพิมพ์|印刷店
ห้องน้ำ|卫生间
ห้องครัว|厨房
ห้องนอน|卧室
ห้องรับแขก|客厅
ห้องนั่งเล่น|起居室
ห้องซักรีด|洗衣房
ห้องเก็บของ|储藏室
ชั้นล่าง|一楼
ชั้นสอง|二楼
ชั้นสาม|สามชั้น
ลิฟต์|电梯
บันได|楼梯
ทางเข้า|入口
ทางออก|出口
ถนน|道路
ซอย|小巷
สะพาน|桥
อุโมงค์|隧道
สี่แยก|十字路口
วงเวียน|环岛
ทางด่วน|高速公路
ทางยกระดับ|高架路
ถนนลาดยาง|柏油路
ถนนลูกรัง|碎石路
ทางเท้า|人行道
ไหล่ทาง|路肩
เกาะกลางถนน|中央隔离带
ป้าย|路标
ไฟจราจร|红绿灯
ทางม้าลาย|斑马线
คอนโดมิเนียม|高级公寓
ทาวน์โฮม|联排别墅
บ้านเดี่ยว|独栋别墅
ห้อง|房间
ห้องนั่งเล่น|客厅
ห้องน้ำ|浴室
ห้องรับแขก|会客室
ห้องทำงาน|书房
ระเบียง|阳台
ดาดฟ้า|天台
สนาม|场地
สนามหญ้า|草坪
สวน|花园
สระน้ำ|游泳池
โรงจอดรถ|车库
วิทยาลัย|学院
โรงเรียนประถม|小学
โรงเรียนมัธยม|中学
สถาบันกวดวิชา|补习班
ห้องปฏิบัติการ|实验室
ห้องฉุกเฉิน|急诊室
ห้องผ่าตัด|手术室
ห้องแล็บ|化验室
แผนก|科室
แผนกอายุรกรรม|内科
แผนกศัลยกรรม|外科
แผนกสูตินรีเวช|妇产科
แผนกกุมารเวช|儿科
แผนกทันตกรรม|牙科
แผนกตา|眼科
ห้างสรรพสินค้า|百货商场
ซุปเปอร์มาร์เก็ต|超市
ตลาดสด|菜市场
ตลาดนัด|跳蚤市场
ตลาดกลางคืน|夜市
ฟู้ดคอร์ด|美食广场
ร้านกาแฟ|咖啡馆
ร้านเบเกอรี่|面包店
ร้านขายเสื้อผ้า|服装店
ร้านแว่นตา|眼镜店
ร้านซ่อม|维修店
ร้านสปา|SPA馆
สถานีรถตู้|小巴站
สถานีรถไฟฟ้า|地铁站
สถานี BTS|轻轨站
สถานี MRT|地铁站
ป้ายรถเมล์|公交站
ถนน|马路
จุดจอด|停靠站
ศาลหลักเมือง|城隍庙
สนามกีฬา|运动场
สนามฟุตบอล|足球场
สนามบาสเกตบอล|篮球场
สนามเทนนิส|网球场
สนามกอล์ฟ|高尔夫球场
สระว่ายน้ำ|游泳池
สวนสัตว์|动物园
อควาเรียม|水族馆
หอศิลป์|美术馆
โรงมหรสพ|剧院
โรงภาพยนตร์|电影院
โรงละคร|剧场
โรงเต็มรูปแบบ|全功能剧院
เกาะ|岛
ชายหาด|海滩
ภูเขา|山
น้ำตก|瀑布
ถ้ำ|洞穴
ป่า|森林
ทะเลสาบ|湖
แม่น้ำ|河流
คลอง|运河
อ่างเก็บน้ำ|水库
น้ำพุ|喷泉
 לאורจันทร์|月光下
ใต้ต้นไม้|树下
บนเนินเขา|山上
ชายป่า|森林边缘
บ้าน2|家2
คอนโด2|公寓2
คอนโดมิเนียม2|高级公寓2
ทาวน์โฮม2|联排别墅2
บ้านเดี่ยว2|独栋别墅2
ห้อง2|房间2
ห้องนอน2|卧室2
ห้องนั่งเล่น2|客厅2
ห้องครัว2|厨房2
ห้องน้ำ2|浴室2
ห้องรับแขก2|会客室2
ห้องทำงาน2|书房2
ห้องเก็บของ2|储藏室2
ระเบียง2|阳台2
ดาดฟ้า2|天台2
สนาม2|场地2
สนามหญ้า2|草坪2
สวน2|花园2
สระน้ำ2|游泳池2
โรงจอดรถ2|车库2
โรงเรียน2|学校2
มหาวิทยาลัย2|大学2
วิทยาลัย2|学院2
โรงเรียนประถม2|小学2
โรงเรียนมัธยม2|中学2
สถาบันกวดวิชา2|补习班2
ห้องสมุด2|图书馆2
ห้องปฏิบัติการ2|实验室2
โรงพยาบาล2|医院2
คลินิก2|诊所2
ร้านขายยา2|药店2
ห้องฉุกเฉิน2|急诊室2
ห้องผ่าตัด2|手术室2
ห้องแล็บ2|化验室2
แผนก2|科室2
แผนกอายุรกรรม2|内科2
แผนกศัลยกรรม2|外科2
แผนกสูตินรีเวช2|妇产科2
แผนกกุมารเวช2|儿科2
แผนกทันตกรรม2|牙科2
แผนกตา2|眼科2
ห้างสรรพสินค้า2|百货商场2
ซุปเปอร์มาร์เก็ต2|超市2
ร้านสะดวกซื้อ2|便利店2
ตลาด2|市场2
ตลาดสด2|菜市场2
ตลาดนัด2|跳蚤市场2
ตลาดกลางคืน2|夜市2
ฟู้ดคอร์ด2|美食广场2
ร้านอาหาร2|餐厅2
ร้านกาแฟ2|咖啡馆2
ร้านเบเกอรี่2|面包店2
ร้านไอศกรีม2|冰淇淋店2
