เรียน|学习
อ่าน|读
เขียน|写
ฟัง|听
พูด|说
จำ|记
ท่อง|背
สอบ|考试
ตกสอบ|不及格
สอบผ่าน|通过
สอบได้ที่หนึ่ง|第一名
ทำแบบฝึกหัด|做练习
ทำการบ้าน|做作业
ทำรายงาน|做报告
ทำวิทยานิพนธ์|写论文
ส่งงาน|交作业
ส่งรายงาน|交报告
เก็บงาน|收作业
ตรวจงาน|批改作业
ให้คะแนน|打分
ให้คะแนนเต็ม|满分
ให้คะแนนดี|好成绩
ให้คะแนนพอใช้|及格
ให้คะแนนไม่ผ่าน|不及格
เกรด|成绩
เกรด A|A级
เกรด B|B级
เกรด C|C级
เกรด D|D级
เกรด F|F级
หนังสือ|书
ตำรา|教科书
สมุด|本子
ดินสอ|铅笔
ปากกา|笔
ปากกาสีน้ำเงิน|蓝笔
ปากกาสีแดง|红笔
ปากกาสีดำ|黑笔
ปากกาสีเขียว|绿笔
ปากกาสีเหลือง|黄笔
ปากกาเมจิก|马克笔
ปากกาไฮไลท์|荧光笔
ยางลบ|橡皮
ไม้บรรทัด|尺
เครื่องคิดเลข|计算器
คอมพิวเตอร์|电脑
แล็ปท็อป|笔记本电脑
แท็บเล็ต|平板电脑
โทรศัพท์มือถือ|手机
หูฟัง|耳机
ไมค์|麦克风
จอ|屏幕
คีย์บอร์ด|键盘
เมาส์|鼠标
ฮาร์ดดิสก์|硬盘
ปริ้นเตอร์|打印机
กระดาษ|纸
สมุดบันทึก|记事本
แฟ้ม|文件夹
ปากซอง|信封
กาว|胶水
กิ๊บ|夹子
เทปกาว|胶带
กรรไกร|剪刀
คัตเตอร์|美工刀
เข็ม|针
ด้าย|线
เข็มกลัด|别针
หมุด|图钉
กระดิ่ง|铃铛
นาฬิกา|钟表
ปฏิทิน|日历
แผนที่|地图
แผนภูมิ|图表
แผนภาพ|图表
กระดาน|黑板
กระดานไวท์บอร์ด|白板
ปากกาวงกลม|白板笔
จอ投影|投影屏幕
ห้องเรียน|教室
ห้องสมุด|图书馆
ห้องปฏิบัติการ|实验室
ห้องคอมพิวเตอร์|电脑室
ห้องดนตรี|音乐室
ห้องศิลปะ|美术室
ห้องยิม|体育馆
ห้องอาหาร|食堂
ห้องน้ำ|卫生间
ห้องพักครู|教师办公室
ห้องธุรการ|行政办公室
ห้องแนะแนว|咨询办公室
ห้องพยาบาล|医务室
ห้องเก็บของ|储藏室
ห้องประชุม|会议室
ห้องจัดเลี้ยง|宴会厅
ห้องแสดง|展示厅
ห้องโถง|大厅
ห้องรับแขก|客厅
ห้องนอน|卧室
ห้องครัว|厨房
ห้องนั่งเล่น|起居室
ห้องซักรีด|洗衣房
ห้องเก็บรองเท้า|鞋柜
ห้องใต้หลังคา|阁楼
ห้องใต้ดิน|地下室
ห้องลอย|阁楼房间
ชั้น|楼层
ชั้นล่าง|一楼
ชั้นสอง|二楼
ชั้นสาม|三楼
ชั้นสี่|四楼
ชั้นห้า|五楼
ลิฟต์|电梯
บันได|楼梯
ทางเข้า|入口
ทางออก|出口
ทางเดิน|走廊
หน้าต่าง|窗户
ประตู|门
ผนัง|墙壁
เพดาน|天花板
พื้น|地板
หลังคา|屋顶
เสา|柱子
คาน|横梁
ผ้าม่าน|窗帘
พรม|地毯
โคมไฟ|灯
หลอดไฟ|灯泡
