รัฐบาล|政府
นายกรัฐมนตรี|总理
ประธานาธิบดี|总统
รัฐมนตรี|部长
รัฐมนตรีว่าการ|部长
รัฐมนตรีช่วยว่าการ|副部长
สภาผู้แทนราษฎร|众议院
วุฒิสภา|参议院
สภาคองเกรส|国会
รัฐสภา|议会
นักการเมือง|政治家
พรรคการเมือง|政党
การเลือกตั้ง|选举
ผู้สมัคร|候选人
ผู้มีสิทธิเลือกตั้ง|选民
บัตรลงคะแนน|选票
หีบบัตร|投票箱
หน่วยเลือกตั้ง|投票站
คณะกรรมการเลือกตั้ง|选举委员会
ผลการเลือกตั้ง|选举结果
คะแนนเสียง|选票数
เสียงข้างมาก|多数票
เสียงข้างน้อย|少数票
รัฐธรรมนูญ|宪法
กฎหมาย|法律
พระราชบัญญัติ|法令
พระราชกฤษฎีกา|诏令
มติคณะรัฐมนตรี|内阁决议
ระเบียบ|规章
ข้อบังคับ|规定
คำสั่ง|命令
ประกาศ|公告
นโยบาย|政策
แผนพัฒนา|发展规划
งบประมาณ|预算
ภาษี|税
ภาษีเงินได้|所得税
ภาษีมูลค่าเพิ่ม|增值税
ภาษีสรรพสามิต|消费税
ภาษีศุลกากร|关税
ประกันสังคม|社会保险
ประกันสุขภาพ|医疗保险
เงินบำนาญ|养老金
เงินสงเคราะห์|救济金
เงินเดือน|工资
ค่าจ้าง|工资
ค่าแรง|工资
สวัสดิการ|福利
สิทธิ|权利
เสรีภาพ|自由
ประชาธิปไตย|民主
เสรีนิยม|自由主义
อนุรักษ์นิยม|保守主义
สังคมนิยม|社会主义
ทุนนิยม|资本主义
คอมมิวนิสต์|共产主义
เผด็จการ|独裁
ปฏิปักษ์|反对派
ฝ่ายค้าน|反对党
ฝ่ายรัฐบาล|执政党
วุฒิสมาชิก|参议员
สมาชิกสภาผู้แทนราษฎร|众议员
ผู้ว่าราชการจังหวัด|省长
นายกเทศมนตรี|市长
นายอำเภ县长
กำนัน|乡长
ผู้ใหญ่บ้าน|村长
อบต|地方行政组织
เทศบาล|市政
องค์การบริหารส่วนจังหวัด|省行政组织
การปกครอง|行政
การบริหาร|管理
ราชการ|公务
ข้าราชการ|公务员
พนักงานรัฐ|政府雇员
หน่วยงาน|机构
กระทรวง|部
กรม|局
กอง|处
แผนก|科
ฝ่าย|部门
สภา|议会
สภาผู้แทน|众议院
ส.ส.|议员
ส.ว.|参议员
พรรค|政党
ลงคะแนน|投票
บัตรเลือกตั้ง|选票
พระราชบัญญัติ|法律
กฎกระทรวง|部令
ระเบียบ|规定
ศาล|法院
ศาลฎีกา|最高法院
ศาลรัฐธรรมนูญ|宪法法院
ศาลปกครอง|行政法院
ผู้พิพากษา|法官
อัยการ|检察官
ทนาย|律师
จำเลย|被告
โจทก์|原告
พยาน|证人
หลักฐาน|证据
คำพิพากษา|判决
อุทธรณ์|上诉
หน้าที่|义务
ความเท่าเทียม|平等
ความยุติธรรม|正义
กองทุน|基金
รายรับ|收入
รายจ่าย|支出
หนี้สาธารณะ|公共债务
เศรษฐกิจ|经济
เงินเฟ้อ|通胀
เงินฝืด|通缩
อัตราดอกเบี้ย|利率
การค้า|贸易
นำเข้า|进口
ส่งออก|出口
การลงทุน|投资
หุ้น|股票
พันธบัตร|债券
ตลาดหลักทรัพย์|证券交易所
ธนาคาร|银行
ธนาคารแห่งประเทศไทย|泰国央行
เงินบาท|泰铢
เงินดอลลาร์|美元
การทูต|外交
สถานทูต|大使馆
สถานกงสุล|领事馆
สนธิสัญญา|条约
ความร่วมมือ|合作
ความสัมพันธ์|关系
องค์กรระหว่างประเทศ|国际组织
สหประชาชาติ|联合国
อาเซียน|东盟
สหภาพยุโรป|欧盟
 WTO|世贸组织
ความมั่นคง|安全
ตำรวจ|警察
ทหาร|军队
กองทัพ|军队
ความสงบเรียบร้อย|治安
การป้องกัน|防御
การโจมตี|攻击
การทหาร|军事
อาวุธ|武器
สันติภาพ|和平
สงคราม|战争
การเจรจา|谈判
การไกล่เกลี่ย|调解
สิ่งแวดล้อม|环境
อนุรักษ์|保护
ทิ้งขยะ|扔垃圾
รีไซเคิล|回收
พลังงาน|能源
พลังงานแสงอาทิตย์|太阳能
พลังงานลม|风能
น้ำมัน|石油
ก๊าซธรรมชาติ|天然气
ถ่านหิน|煤炭
ไฟฟ้า|电力
น้ำ|水
สาธารณสุข|公共卫生
ไข้เลือดออก|登革热
มาลาเรีย|疟疾
โควิด|新冠
การระบาด|疫情
วัคซีน|疫苗
กักตัว|隔离
เว้นระยะห่าง|保持距离
สื่อมวลชน|媒体
หนังสือพิมพ์|报纸
วิทยุ|广播
โทรทัศน์|电视
สื่อสังคมออนไลน์|社交媒体
เสรีภาพสื่อ|新闻自由
การเซ็นเซอร์|审查
NGO|非政府组织
มูลนิธิ|基金会
สมาคม|协会
ชมรม|社团
แรงงาน|劳动
สหภาพแรงงาน|工会
ค่าแรงขั้นต่ำ|最低工资
แรงงานข้ามชาติ|外来务工
คนพิการ|残疾人
เด็ก|儿童
สตรี|妇女
