ศูนย์|零
หนึ่ง|一
สอง|二
สาม|三
สี่|四
ห้า|五
หก|六
เจ็ด|七
แปด|八
เก้า|九
สิบ|十
สิบเอ็ด|十一
สิบสอง|十二
สิบสาม|十三
สิบสี่|十四
สิบห้า|十五
สิบหก|十六
สิบเจ็ด|十七
สิบแปด|十八
สิบเก้า|十九
ยี่สิบ|二十
สามสิบ|三十
สี่สิบ|四十
ห้าสิบ|五十
หกสิบ|六十
เจ็ดสิบ|七十
แปดสิบ|八十
เก้าสิบ|九十
ร้อย|百
ร้อยเอ็ด|一百零一
ร้อยสอง|一百零二
สองร้อย|二百
สามร้อย|三百
สี่ร้อย|四百
ห้าร้อย|五百
หกร้อย|六百
เจ็ดร้อย|七百
แปดร้อย|八百
เก้าร้อย|九百
พัน|千
พันเอ็ด|一千零一
สองพัน|二千
สามพัน|三千
สี่พัน|四千
ห้าพัน|五千
หกพัน|六千
เจ็ดพัน|七千
แปดพัน|八千
เก้าพัน|九千
หมื่น|万
สองหมื่น|二万
สามหมื่น|三万
สี่หมื่น|四万
ห้าหมื่น|五万
หกหมื่น|六万
เจ็ดหมื่น|七万
แปดหมื่น|八万
เก้าหมื่น|九万
แสน|十万
สองแสน|二十万
สามแสน|三十万
สี่แสน|四十万
ห้าแสน|五十万
หกแสน|六十万
เจ็ดแสน|七十万
แปดแสน|八十万
เก้าแสน|九十万
ล้าน|百万
สองล้าน|二百万
สามล้าน|三百万
สี่ล้าน|四百万
ห้าล้าน|五百万
หกล้าน|六百万
เจ็ดล้าน|七百万
แปดล้าน|八百万
เก้าล้าน|九百万
สิบล้าน|千万
ร้อยล้าน|亿
พันล้าน|十亿
หมื่นล้าน|万亿
ล้านล้าน|兆
จำนวน|数量
ตัวเลข|数字
เลข|数字
หลัก|位
หลักหน่วย|个位
หลักสิบ|十位
หลักร้อย|百位
หลักพัน|千位
หลักหมื่น|万位
หลักแสน|十万位
หลักล้าน|百万位
เศษส่วน|分数
ครึ่ง|一半
หนึ่งในสาม|三分之一
หนึ่งในสี่|四分之一
สองในสาม|三分之二
สามในสี่|四分之三
หนึ่งในห้า|五分之一
สองในห้า|五分之สอง
สามในห้า|五分之三
สี่ในห้า|五分之四
หนึ่งในสิบ|十分之一
เปอร์เซ็นต์|百分比
ห้าสิบเปอร์เซ็นต์|百分之五十
สิบเปอร์เซ็นต์|百分之十
ยี่สิบเปอร์เซ็นต์|百分之二十
สามสิบเปอร์เซ็นต์|百分之三十
สี่สิบเปอร์เซ็นต์|百分之四十
หกสิบเปอร์เซ็นต์|百分之六十
เจ็ดสิบเปอร์เซ็นต์|百分之七十
แปดสิบเปอร์เซ็นต์|百分之八十
เก้าสิบเปอร์เซ็นต์|百分之九十
หนึ่งร้อยเปอร์เซ็นต์|百分之一百
ทศนิยม|小数
จุด|点
ศูนย์จุดห้า|零点五
หนึ่งจุดห้า|一点五
สองจุดสาม|二点三
สามจุดเจ็ด|三点七
สี่จุดสอง|四点二
ห้าจุดแปด|五点八
หกจุดสี่|六点四
เจ็ดจุดหนึ่ง|七点一
แปดจุดเก้า|八点九
เก้าจุดศูนย์|九点零
บวก|加
ลบ|减
คูณ|乘
หาร|除
เท่ากับ|等于
มากกว่า|大于
น้อยกว่า|小于
มากกว่าหรือเท่ากับ|大于等于
น้อยกว่าหรือเท่ากับ|小于等于
ไม่เท่ากับ|不等于
บวกด้วย|加上
ลบด้วย|减去
คูณด้วย|乘以
หารด้วย|除以
ผลลัพธ์|结果
คำตอบ|答案
โจทย์|题目
สมการ|方程式
สูตร|公式
ค่า|值
ค่าคงตัว|常数
ตัวแปร|变量
สมการเชิงเส้น|线性方程
สมการเชิงกำลังสอง|二次方程
