วัฒนธรรม|文化
ประเพณี|传统
พิธีกรรม|仪式
พิธี|典礼
งานบวช|出家仪式
งานแต่งงาน|婚礼
งานศพ|葬礼
งานบุญ|宗教活动
งานสงกรานต์|泼水节
งานลอยกระทง|水灯节
งานตรุษจีน|春节
งานสารทจีน|中元节
งานวันแม่|母亲节
งานวันพ่อ|父亲节
งานวันเด็ก|儿童节
งานวันครู|教师节
ศาสนา|宗教
พุทธศาสนา|佛教
ศาสนาคริสต์|基督教
ศาสนาอิสลาม|ศาสนาอิสลาม|伊斯兰教
ศาสนาฮินดู|印度教
ศาสนาพุทธ|佛教
วัด|寺庙
โบสถ์|教堂
มัสยิด|清真寺
ศาลเจ้า|神社
พระ|僧侣
พระสงฆ์|僧侣
แม่ชี|尼姑
นักบวช|神职人员
สวดมนต์|诵经
ทำบุญ|做功德
ตักบาตร|布施
ถวายสังฆทาน|供僧
เวียนเทียน|绕佛
นั่งสมาธิ|打坐
เจริญสมาธิ|冥想
วิปัสสนา|内观
กรรม|业
บุญ|功德
บาป|罪
นิพพาน|涅槃
สัตว์นรก|地狱众生
สวรรค์|天堂
สุขาวดี|极乐世界
ชาติ|生命
เกิด|出生
ตาย|死亡
เวียนว่ายตายเกิด|轮回
กฏแห่งกรรม|因果报应
ศิลปะ|艺术
จิตรกรรม|绘画
ประติมากรรม|雕塑
สถาปัตยกรรม|建筑
ดนตรี|音乐
นาฏศิลป์|舞蹈
วรรณกรรม|文学
กวีนิพนธ์|诗歌
นวนิยาย|小说
เรื่องสั้น|短篇小说
บทความ|文章
พงศาวดาร|编年史
ประวัติศาสตร์|历史
โบราณคดี|考古学
มานุษยวิทยา|人类ชาติ|民族
ภาษา|语言
สำเนียง|口音
สำเนียงเหนือ|北方方言
สำเนียงใต้|南方方言
สำเนียงอีสาน|东北方言
สำเนียงกลาง|中部方言
ตัวอักษร|字母
พยัญชนะ|辅音
สระ|元音
วรรณยุกต์|声调
ภาษาไทย|泰语
ภาษาจีน|中文
ภาษาอังกฤษ|英语
ภาษาญี่ปุ่น|日语
ภาษาเกาหลี|韩语
ภาษาฝรั่งเศส|法语
ภาษาสเปน|西班牙语
ภาษาเยอรมัน|德语
ภาษาอิตาลี|意大利语
ภาษาโปรตุเกส|葡萄牙语
ภาษาดัตช์|荷兰语
ภาษาสวีเดน|瑞典语
ภาษานอร์เวย์|挪威语
ภาษาเดนมาร์ก|丹麦语
ภาษาฟินแลนด์|芬兰语
ภาษาโปแลนด์|波兰语
ภาษาเช็ก|捷克语
ภาษาฮังการี|匈牙利语
ภาษากรีก|希腊语
ภาษาตุรกี|土耳其语
ภาษาอาหรับ|阿拉伯语
ภาษาฮินดี|印地语
ภาษาเบงกอล|孟加拉语
ภาษาอูรดู|乌尔都语
ภาษาเปอร์เซีย|波斯语
ภาษาเวียดนาม|越南语
ภาษาพม่า|缅甸语
ภาษาเขมร|柬埔寨语
ภาษามาเลย์|马来语
ภาษาอินโดนีเซีย|印度尼西亚语
ภาษาฟิลิปปินส์|菲律宾语
พิธี|仪式
พิธีกรรม|典礼
เทศกาล|节日
สงกรานต์|泼水节
ลอยกระทง|水灯节
วันสำคัญ|重要日子
วันพระ|佛日
วันเข้าพรรษา|入夏节
วันออกพรรษา|出夏节
วันอาสาฬหบูชา|守夏节
อาหาร|食物
อาหารไทย|泰国菜
อาหารท้องถิ่น|当地菜
ส้มตำ|青木瓜沙拉
ต้มยำ|冬阴功
ผัดไทย|泰式炒粿条
ข้าวมันไก่|海南鸡饭
แกงเขียวหวาน|绿咖喱
ดนตรีไทย|泰国音乐
ขิม|扬琴
ระนาด|木琴
ปี่|笛子
กลอง|鼓
ฆ้อง|锣
ฉิ่ง|钹
มโหรี|乐队
ลูกทุ่ง|乡村音乐
ป็อป|流行音乐
รำ|舞蹈
รำไทย|泰国舞蹈
ฟ้อน|跳舞
เล่นงิ้ว|京剧
นาฏศิลป์|表演艺术
หนัง|电影
ละคร|戏剧
คอนเสิร์ต|音乐会
การแสดง|表演
เวที|舞台
พุทธ|佛教
คริสต์|基督教
อิสลาม|伊斯兰教
ฮินดู|印度教
พระ|和尚
สวดมนต์|念经
ทำบุญ|积德
ฟังธรรม|听佛法
นั่งสมาธิ|冥想
ภาษาบาลี|巴利语
ภาษาเขมร|高棉语
ภาษาลาว|老挝语
การออกเสียง|发音
วรรณคดี|文学
民间传说|民间传说
นิทาน|故事
ปรัมปรา|神话
_legend|传说
เสื้อผ้า|衣服
ชุดไทย|泰国服装
ชุดประจำชาติ|民族服装
ผ้าไทย|泰国布
