ตื่น|醒来
ลุก|起来
ล้างหน้า|洗脸
แปรงฟัน|刷牙
สระผม|洗头
หวีผม|梳头
แต่งตัว|穿衣
กินข้าวเช้า|吃早饭
ดื่มกาแฟ|喝咖啡
ไปทำงาน|去上班
ขับรถ|开车
นั่งรถเมล์|坐公交车
นั่งรถไฟ|坐火车
นั่งแท็กซี่|坐出租车
เดินไป|走着去
ปั่นจักรยาน|骑自行车
ทำงาน|工作
ประชุม|开会
เขียนงาน|写工作
ตอบอีเมล|回邮件
คุยโทรศัพท์|打电话
คุยกับเพื่อนร่วมงาน|和同事聊天
พักเบรก|休息
กินข้าวกลางวัน|吃午饭
เดินเล่น|散步
งีบหลับ|打盹
กลับบ้าน|回家
กินข้าวเย็น|吃晚饭
ดูทีวี|看电视
อ่านหนังสือ|读书
เล่นมือถือ|玩手机
นอน|睡觉
อาบน้ำ|洗澡
ล้างจาน|洗碗
กวาดบ้าน|扫地
ถูพื้น|拖地
ซักผ้า|洗衣服
ตากผ้า|晾衣服
รีดผ้า|熨衣服
พับผ้า|叠衣服
เช็ดโต๊ะ|擦桌子
ทำความสะอาดห้อง|打扫房间
ดูดฝุ่น|吸尘
ถังขยะ|垃圾桶
ทิ้งขยะ|扔垃圾
แยกขยะ|分类垃圾
ล้างมือ|洗手
เช็ดมือ|擦手
ส่องกระจก|照镜子
ตัดเล็บ|剪指甲
ใส่ครีม|涂面霜
ฉีดน้ำหอม|喷香水
แต่งหน้า|化妆
ไดร์ผม|吹头发
หนีบผม|夹头发
มัดผม|扎头发
ปล่อยผม|披发
ตัดผม|剪头发
ย้อมผม|染头发
ฟอกผม|漂头发
โกนหนวด|刮胡子
ไว้หนวด|留胡子
ตื่นนอน|起床
เข้านอน|入睡
นอนกรน|打呼
นอนละเมอ|说梦话
ฝัน|做梦
นอนไม่หลับ|失眠
นอนดึก|熬夜
นอนเร็ว|早睡
ตื่นเช้า|早起
ตื่นสาย|睡懒觉
ง่วงนอน|困
เหนื่อย|累
หิว|饿
อิ่ม|饱
กระหายน้ำ|渴
เปียก|湿
แห้ง|干
ร้อน|热
หนาว|冷
อบอุ่น|温暖
สบาย|舒服
ไม่สบาย|不舒服
ป่วย|生病
หายป่วย|痊愈
ไปหาหมอ|去看医生
กินยา|吃药
ฉีดยา|打针
พันผ้า|包扎
พักผ่อน|休息
นอนหลับ|睡觉
รู้สึกดี|感觉好
รู้สึกแย่|感觉糟
อารมณ์ดี|心情好
อารมณ์เสีย|心情差
โกรธ|生气
เศร้า|伤心
ดีใจ|高兴
ตื่นเต้น|兴奋
กลัว|害怕
กังวล|担心
เครียด|压力大
ผ่อนคลาย|放松
สนุก|开心
เบื่อ|无聊
