วัน|天
สัปดาห์|周
เดือน|月
ปี|年
วันนี้|今天
พรุ่งนี้|明天
เมื่อวาน|昨天
วานนี้|昨天
วันซูม|前天
วันรุ่งขึ้น|后天
ตอนเช้า|早上
ตอนกลางวัน|中午
ตอนเย็น|傍晚
ตอนกลางคืน|晚上
ตอนดึก|深夜
เช้า|早
สาย|迟
บ่าย|下午
เย็น|晚
ดึก|深夜
ดื่น|凌晨
สว่าง|天亮
มืด|天黑
พระอาทิตย์ขึ้น|日出
พระอาทิตย์ตก|日落
จันทร์|月亮
ดาว|星星
เมฆ|云
ฝน|雨
ลม|风
แดด|阳光
อากาศ|天气
ฤดู|季节
ฤดูใบไม้ผลิ|春天
ฤดูร้อน|夏天
ฤดูใบไม้ร่วง|秋天
ฤดูหนาว|冬天
เดือนมกราคม|一月
เดือนกุมภาพันธ์|二月
เดือนมีนาคม|三月
เดือนเมษายน|四月
เดือนพฤษภาคม|五月
เดือนมิถุนายน|六月
เดือนกรกฎาคม|七月
เดือนสิงหาคม|八月
เดือนกันยายน|九月
เดือนตุลาคม|十月
เดือนพฤศจิกายน|十一月
เดือนธันวาคม|十二月
วันจันทร์|星期一
วันอังคาร|星期二
วันพุธ|星期三
วันพฤหัสบดี|星期四
วันศุกร์|星期五
วันเสาร์|星期六
วันอาทิตย์|星期日
โมง|点
นาที|分钟
วินาที|秒
ชั่วโมง|小时
ตอน|时候
ขณะ|此刻
เดี๋ยวนี้|现在
เมื่อกี้|刚才
ทีหลัง|以后
ต่อมา|后来
ก่อนหน้า|之前
หลังจากนั้น|之后
ในที่สุด|终于
ทันที|立刻
ทันทีทันใด|马上
เมื่อ|当...时
ตอนที่|当...时
ก่อนที่|在...之前
หลังจากที่|在...之后
ระหว่างที่|在...期间
ในขณะที่|在...同时
ทุกครั้งที่|每次
บางครั้ง|有时
บ่อยครั้ง|经常
เสมอ|总是
ไม่เคย|从不
เคย|曾经
กำลัง|正在
เพิ่ง|刚
ใกล้จะ|快要
ราวๆ|大约
ประมาณ|大概
เกือบ|几乎
พอดี|正好
ทันที|马上
เร็วๆนี้|最近
นานมาแล้ว|很久以前
เมื่อวันก่อน|前几天
วันก่อน|前天
วันอาทิตย์|星期天
ตอนบ่าย|下午
กลางคืน|晚上
เที่ยงวัน|中午
เที่ยงคืน|午夜
ตอนสาย|上午
ตอนค่ำ|晚上
ต้นปี|年初
กลางปี|年中
ปลายปี|年末
ปีใหม่|新年
ปีเก่า|旧年
วันหยุด|假期
วันหยุดราชการ|法定假日
วันหยุดยาว|长假
วันพักผ่อน|休息日
วันเกิด|生日
วันคริสต์มาส|圣诞节
วันปีใหม่|元旦
วันสงกรานต์|泼水节
วันลอยกระทง|水灯节
วันแม่|母亲节
วันพ่อ|父亲节
วันเด็ก|儿童节
วัน Valentine|情人节
วันฮาโลวีน|万圣节
วัน Thanksgiving|感恩节
รอ|等
รออีกนิด|再等一下
รอนาน|等很久
รอสักครู่|请稍等
เร็ว|快
ช้า|慢
ทันเวลา|准时
สาย|迟到
เร็วเกินไป|太早
ตรงเวลา|准时
ก่อนเวลา|提前
หลังเวลา|超过时间
เกินเวลา|超时
ทุกวัน|每天
ทุกสัปดาห์|每周
ทุกเดือน|每月
ทุกปี|每年
เช้านี้|今天早上
บ่ายนี้|今天下午
ค่ำนี้|今晚
เมื่อเช้านี้|今天早上
เมื่อบ่ายวาน|昨天下午
เมื่อคืน|昨晚
ปีที่แล้ว|去年
ปีหน้า|明年
เดือนที่แล้ว|上个月
เดือนหน้า|下个月
สัปดาห์ที่แล้ว|上周
สัปดาห์หน้า|下周
เช้าวันจันทร์|周一早上
บ่ายวันศุกร์|周五下午
วันหยุดสุดสัปดาห์|周末
วันเสาร์อาทิตย์|周六周日
พฤศจิกายน|十一月
ธันวาคม|十二月
มกราคม|一月
กุมภาพันธ์|二月
มีนาคม|三月
เมษายน|四月
พฤษภาคม|五月
มิถุนายน|六月
กรกฎาคม|七月
สิงหาคม|八月
กันยายน|九月
ตุลาคม|十
วัน2|天2
สัปดาห์2|周2
เดือน2|月2
ปี2|年2
วันนี้2|今天2
เมื่อวาน2|昨天2
พรุ่งนี้2|明天2
วันจันทร์2|星期一2
วันอังคาร2|星期二2
วันพุธ2|星期三2
วันพฤหัสบดี2|星期四2
วันศุกร์2|星期五2
วันเสาร์2|星期六2
วันอาทิตย์2|星期天2
ตอนเช้า2|早上2
ตอนบ่าย2|下午2
ตอนเย็น2|傍晚2
