โรงเรียน|学校
มหาวิทยาลัย|大学
ห้องเรียน|教室
ห้องสมุด|图书馆
ห้องปฏิบัติการ|实验室
ห้องคอมพิวเตอร์|电脑室
ห้องดนตรี|音乐室
ห้องศิลปะ|美术室
ห้องยิม|体育馆
ห้องอาหาร|食堂
ห้องน้ำ|卫生间
ห้องพักครู|教师办公室
ห้องธุรการ|行政办公室
ห้องแนะแนว|咨询办公室
ห้องพยาบาล|医务室
สนามกีฬา|操场
สนามฟุตบอล|足球场
สนามบาสเกตบอล|篮球场
สนามเทนนิส|网球场
สนามว่ายน้ำ|游泳池
สนามวิ่ง|跑道
สนามหญ้า|草坪
ลานจอดรถ|停车场
สวน|花园
ตึกเรียน|教学楼
ตึกอำนวยการ|行政楼
ตึกหอพัก|宿舍楼
โรงอาหาร|食堂
โรงละคร|礼堂
หอประชุม|会议厅
ห้องประชุม|会议室
ห้องทำงาน|办公室
ห้องเก็บของ|储藏室
ห้องซักรีด|洗衣房
ห้องนั่งเล่น|休息室
ห้องรับรอง|接待室
ห้องโถง|大厅
ทางเข้า|入口
ทางออก|出口
ทางเดิน|走廊
บันได|楼梯
ลิฟต์|电梯
หน้าต่าง|窗户
ประตู|门
ผนัง|墙壁
เพดาน|天花板
พื้น|地板
หลังคา|屋顶
เสา|柱子
คาน|横梁
ผ้าม่าน|窗帘
พรม|地毯
โคมไฟ|灯
หลอดไฟ|灯泡
สวิตช์ไฟ|开关
ปลั๊กไฟ|插座
สายไฟ|电线
พัดลม|风扇
แอร์|空调
กระดาน|黑板
กระดานไวท์บอร์ด|白板
ปากกาไวท์บอร์ด|白板笔
จอ投影|投影屏幕
คอมพิวเตอร์|电脑
แล็ปท็อป|笔记本电脑
แท็บเล็ต|平板电脑
โทรศัพท์มือถือ|手机
หูฟัง|耳机
ไมค์|麦克声
จอ|屏幕
คีย์บอร์ด|键盘
เมาส์|鼠标
ฮาร์ดดิสก์|硬盘
ปริ้นเตอร์|打印机
กระดาษ|纸
หนังสือ|书
ตำรา|教科书
สมุด|本子
ดินสอ|铅笔
ปากกา|笔
ปากกาสีน้ำเงิน|蓝笔
ปากกาสีแดง|红笔
ปากกาสีดำ|黑笔
ปากกาสีเขียว|绿笔
ปากกาสีเหลือง|黄笔
ปากกาเมจิก|马克笔
ปากกาไฮไลท์|荧光笔
ยางลบ|橡皮
ไม้บรรทัด|尺
เครื่องคิดเลข|计算器
แฟ้ม|文件夹
สมุดบันทึก|记事本
ปากซอง|信封
กาว|胶水
กิ๊บ|夹子
