ตื่นนอน|起床
ลุกจากเตียง|下床
ล้างหน้า|洗脸
แปรงฟัน|刷牙
บ้วนน้ำลาย|漱口
อาบน้ำ|洗澡
สระผม|洗头
เช็ดตัว|擦干身体
แต่งตัว|穿衣
ใส่เสื้อ|穿衣服
ใส่กางเกง|穿裤子
ใส่กระโปรง|穿裙子
ใส่รองเท้า|穿鞋
ใส่ถุงเท้า|穿袜子
ใส่แว่นตา|戴眼镜
ใส่นาฬิกา|戴手表
ใส่สร้อย|戴项链
ใส่แหวน|戴戒指
ใส่ต่างหู|戴耳环
ใส่หมวก|戴帽子
หวีผม|梳头
ไดร์ผม|吹头发
มัดผม|扎头发
ปล่อยผม|披发
ตัดผม|剪头发
ย้อมผม|染头发
โกนหนวด|刮胡子
แต่งหน้า|化妆
ทาลิปสติก|涂口红
ทามาสคาร่า|涂睫毛膏
ทาบลัชออน|涂腮红
ทาครีมกันแดด|涂防晒霜
ใส่น้ำหอม|喷香水
ฉีดสเปรย์|喷喷雾
ทาโลชั่น|涂乳液
ทาครีมบำรุงผิว|涂护肤霜
ทาครีมรอบดวงตา|涂眼霜
ทาเซรั่ม|涂精华液
ทาเอสเซนส์|涂化妆水
มาส์กหน้า|敷面膜
สครับผิว|去角质
นวดหน้า|面部按摩
กินข้าวเช้า|吃早餐
ดื่มน้ำ|喝水
ดื่มกาแฟ|喝咖啡
ดื่มชา|喝茶
ดื่มน้ำอุ่น|喝温水
ดื่มน้ำเย็น|喝冷水
กินขนม|吃零食
กินผลไม้|吃水果
เตรียมตัวไปทำงาน|准备去上班
เช็คอีเมล|查邮件
ดูข่าว|看新闻
ฟังเพลง|听音乐
ดูทีวี|看电视
ดูหนัง|看电影
เล่นเกม|玩游戏
เล่นมือถือ|玩手机
อ่านหนังสือ|读书
อ่านข่าว|看新闻
คุยโทรศัพท์|打电话
ส่งข้อความ|发短信
ส่งไลน์|发Line消息
เช็คเฟสบุ๊ค|刷Facebook
ดูอินสตาแกรม|看Instagram
ดูติ๊กต็อก|看TikTok
ดูยูทูบ|看YouTube
ทำงานบ้าน|做家务
กวาดบ้าน|扫地
ถูพื้น|拖地
ดูดฝุ่น|吸尘
เช็ดโต๊ะ|擦桌子
เช็ดกระจก|擦窗户
ล้างห้องน้ำ|打扫卫生间
ล้างจาน|洗碗
ซักผ้า|洗衣服
ตากผ้า|晾衣服
รีดผ้า|熨衣服
พับผ้า|叠衣服
เก็บผ้า|收衣服
จัดตู้เสื้อผ้า|整理衣柜
จัดห้อง|整理房间
จัดเตียง|整理床铺
เปลี่ยนผ้าปูที่นอน|换床单
เปลี่ยนผ้าห่ม|换被子
ซักผ้าม่าน|洗窗帘
ล้างแอร์|清洗空调
ทำความสะอาดพัดลม|清洁风扇
ล้างตู้เย็น|清洁冰箱
ทำความสะอาดเตา|清洁炉灶
ล้างไมโครเวฟ|清洁微波炉
ทำความสะอาดเครื่องซักผ้า|清洁洗衣机
เปลี่ยนหลอดไฟ|换灯泡
ซ่อมก๊อกน้ำ|修水龙头
ซ่อมไฟ|修灯
เปลี่ยนถ่าน|换电池
เติมกระดาษชำระ|补充卫生纸
เติมสบู่|补充肥皂
เติมแชมพู|补充洗发水
เติมยาสีฟัน|补充牙膏
ซื้อของเข้าบ้าน|买日用品
ซื้อผัก|买蔬菜
ซื้อเนื้อ|买肉
ซื้อปลา|买鱼
ซื้อไข่|买鸡蛋
ซื้อนม|买牛奶
ซื้อข้าว|买米
ซื้อน้ำมัน|买油
ซื้อเกลือ|买盐
ซื้อน้ำตาล|买糖
ซื้อน้ำปลา|买鱼露
ซื้อพริก|买辣椒
ซื้อกระเทียม|买大蒜
ซื้อหัวหอม|买洋葱
ซื้อผักชี|买香菜
ซื้อพริกไทย|买胡椒
ซื้อซอสพริก|买甜辣酱
ซื้อซอสมะเขือเทศ|买番茄酱
ซื้อซีอิ๊ว|买酱油
ซื้อน้ำส้มสายชู|买醋
ซื้อน้ำมันงา|买芝麻油
ซื้อน้ำมันพืช|买植物油
ซื้อนมข้นหวาน|买炼乳
ซื้อนมสด|买鲜奶
ซื้อนมเปรี้ยว|买酸奶
ซื้อน้ำเต้าหู้|买豆浆
ซื้อน้ำมะพร้าว|买椰子水
ซื้อน้ำส้ม|买橙汁
ซื้อน้ำแอปเปิ้ล|买苹果汁
ซื้อน้ำองุ่น|买葡萄汁
ซื้อน้ำแตงโม|买西瓜汁
ซื้อน้ำมะม่วง|买芒果汁
ซื้อน้ำมะนาว|买柠檬汁
ซื้อน้ำเสาวรส|买百香果汁
ซื้อน้ำฝรั่ง|买番石榴汁
ซื้อน้ำอัดลม|买汽水
ซื้อน้ำแร่|买矿泉水
ซื้อน้ำแข็ง|买冰块
ซื้อกาแฟ|买咖啡
ซื้อชา|买茶
ซื้อเบียร์|买啤酒
ซื้อไวน์|买葡萄酒
ซื้อขนมปัง|买面包
ซื้อเค้ก|买蛋糕
ซื้อคุกกี้|买饼干
ซื้อไอศกรีม|买冰淇淋
ซื้อผลไม้|买水果
ซื้อมะม่วง|买芒果
ซื้อทุเรียน|买榴莲
ซื้อสับปะรด|买菠萝
ซื้อมะพร้าว|买椰子
ซื้อกล้วย|买香蕉
ซื้อส้ม|买橘子
ซื้อแอปเปิ้ล|买苹果
ซื้อองุ่น|买葡萄
ซื้อสตรอว์เบอร์รี่|买草莓
ซื้อแตงโม|买西瓜
ซื้อละมุด|买番石榴
ซื้อมังคุด|买山竹
ซื้อลำไย|买龙眼
ซื้อลิ้นจี่|买荔枝
ซื้อขนุน|买菠萝蜜
ซื้อแก้วมังกร|买火龙果
ซื้อฝรั่ง|买番石榴
ซื้อชมพู่|买莲雾
ซื้อน้อยหน่า|买番荔枝
ซื้อเงาะ|买红毛丹
ซื้อส้มโอ|买柚子
ซื้อทับทิม|买石榴
ซื้อเมลอน|买哈密瓜
ซื้อพีช|买桃子
ซื้อเชอร์รี่|买樱桃
ซื้อบลูเบอร์รี่|买蓝莓
ซื้อราสเบอร์รี่|买覆盆子
ซื้อกีวี่|买猕猴桃
ซื้ออะโวคาโด|买牛油果
จ่ายค่าน้ำ|付水费
จ่ายค่าไฟ|付电费
จ่ายค่าเน็ต|付网费
จ่ายค่าโทรศัพท์|付话费
จ่ายค่าเช่า|付房租
จ่ายค่าประกัน|付保险
จ่ายค่ารักษา|付医药费
จ่ายค่าเล่าเรียน|付学费
จ่ายค่าอาหาร|付餐费
จ่ายค่าเดินทาง|付交通费
จ่ายค่าเสื้อผ้า|付衣服钱
จ่ายค่าเครื่องสำอาง|付化妆品钱
จ่ายค่าอุปกรณ์|付设备钱
จ่ายค่าของเล่น|付玩具钱
จ่ายค่าหนังสือ|付书钱
จ่ายค่าดูหนัง|付电影钱
จ่ายค่าเที่ยว|付娱乐钱
จ่ายค่าสุขภาพ|付健康钱
จ่ายค่าออกกำลัง|付健身钱
เข้าครัว|进厨房
ทำอาหาร|做饭
หุงข้าว|煮饭
ต้มน้ำ|烧水
ต้มไข่|煮蛋
ทอดไข่|煎蛋
ผัดผัก|炒蔬菜
ผัดหมู|炒猪肉
ผัดไก่|炒鸡肉
ผัดกุ้ง|炒虾
ต้มยำ|煮冬阴功
ทำส้มตำ|做青木瓜沙拉
ทำลาบ|做肉末沙拉
ทำแกง|煮咖喱
ทำต้มจืด|煮清汤
ทำยำ|做凉拌
นึ่งปลา|蒸鱼
ย่างเนื้อ|烤肉
ทอดปลา|煎鱼
หมักเนื้อ|腌肉
เตรียมวัตถุดิบ|准备食材
ล้างผัก|洗菜
หั่นผัก|切菜
สับหมู|剁肉
สับไก่|剁鸡
หั่นเนื้อ|切肉
หั่นปลา|切鱼
สับพริก|剁辣椒
บดพริก|捣辣椒
ตำพริก|捣辣椒
คั้นมะนาว|挤柠檬汁
บีบมะนาว|挤柠檬
คั้นกะทิ|榨椰奶
กรองน้ำ|过滤水
ชงกาแฟ|冲咖啡
ชงชา|泡茶
ชงโกโก้|冲可可
ทำสมูทตี้|做冰沙
ทำน้ำผลไม้|榨果汁
ปั่นน้ำ|榨汁
เตรียมจาน|摆盘
จัดโต๊ะ|摆桌子
เปิดไฟ|开灯
ปิดไฟ|关灯
เปิดแอร์|开空调
ปิดแอร์|关空调
เปิดทีวี|开电视
ปิดทีวี|关电视
เปิดเพลง|放音乐
ปิดเพลง|关音乐
เปิดน้ำ|开水
ปิดน้ำ|关水
เปิดแก๊ส|开煤气
ปิดแก๊ส|关煤气
ล็อกประตู|锁门
ปลดล็อก|解锁
เปิดหน้าต่าง|开窗
ปิดหน้าต่าง|关窗
เปิดม่าน|拉开窗帘
ปิดม่าน|拉上窗帘
ส่งของ|寄快递
รับของ|收快递
เช็คพัสดุ|查快递
เปิดกล่อง|开箱
เก็บกล่อง|收箱子
ทิ้งกล่อง|扔箱子
รีไซเคิล|回收
แยกขยะ|分类垃圾
ทิ้งขยะ|扔垃圾
เก็บขยะ|收垃圾
ล้างถังขยะ|洗垃圾桶
เปลี่ยนถุงขยะ|换垃圾袋
ซ่อมแซม|修理
ทาสี|刷漆
ติด壁纸|贴壁纸
ติดกระจก|贴玻璃
ซ่อมประตู|修门
ซ่อมหน้าต่าง|修窗户
ซ่อมหลังคา|修屋顶
ซ่อมท่อ|修水管
ซ่อมสายไฟ|修电线
เปลี่ยนกุญแจ|换钥匙
ทำกุญแจ|配钥匙
เปิดกล่องจดหมาย|开信箱
เช็คจดหมาย|查信
ส่งจดหมาย|寄信
จ่ายบิล|付账单
โอนเงิน|转账
ถอนเงิน|取钱
ฝากเงิน|存钱
แลกเงิน|换钱
เช็คยอด|查余额
ดูบัญชี|查账
จดบัญชี|记账
วางแผนการเงิน|规划财务
เก็บออม|储蓄
ลงทุน|投资
ซื้อหุ้น|买股票
ขายหุ้น|卖股票
ซื้อกองทุน|买基金
ขายกองทุน|卖基金
ซื้อทอง|买黄金
ขายทอง|卖黄金
ซื้อประกัน|买保险
เคลมประกัน|理赔
ต่อประกัน|续保
ยกเลิกประกัน|退保
ตรวจสุขภาพ|体检
ฉีดวัคซีน|打疫苗
กินยา|吃药
ทาแผล|涂药
พันผ้า|包扎
นอนพัก|休息
นอนหลับ|睡觉
ฝัน|做梦
ตื่น|醒来
งีบหลับ|打盹
เข้านอน|入睡
ดูแลสุขภาพ|照顾健康
ออกกำลังกาย|运动
วิ่ง|跑步
เดิน|走路
ปั่นจักรยาน|骑自行车
ว่ายน้ำ|游泳
โยคะ|瑜伽
เช้า|早上
กลางวัน|中午
เย็น|傍晚
ค่ำ|晚上
ดึก|深夜
สว่าง|天亮
มืด|天黑
ฝนตก|下雨
แดดออก|出太阳
ลมแรง|大风
หนาว|冷
ร้อน|热
ชื้น|潮湿
แห้ง|干燥
อบอุ่น|温暖
