เศรษฐกิจ|经济
การเงิน|金融
ธนาคาร|银行
เงิน|钱
เงินสด|现金
เงินฝาก|存款
เงินกู้|贷款
ดอกเบี้ย|利息
อัตราดอกเบี้ย|利率
เงินเฟ้อ|通货膨胀
เงินฝืด|通货紧缩
อัตราแลกเปลี่ยน|汇率
ตลาดหุ้น|股票市场
หุ้น|股票
พันธบัตร|债券
กองทุน|基金
ประกัน|保险
การลงทุน|投资
กำไร|利润
ขาดทุน|亏损
รายได้|收入
รายจ่าย|支出
งบประมาณ|预算
หนี้|债务
สินเชื่อ|信贷
บัตรเครดิต|信用卡
บัตรเดบิต|借记卡
ภาษี|税
ภาษีเงินได้|所得税
ภาษีมูลค่าเพิ่ม|增值税
การค้า|贸易
ส่งออก|出口
นำเข้า|进口
ดุลการค้า|贸易差额
อัตราเงินเฟ้อ|通 inflation rate
อัตราการว่างงาน|失业率
การผลิต|生产
อุตสาหกรรม|工业
การเกษตร|农业
การบริการ|服务业
แรงงาน|劳动力
ค่าจ้าง|工资
เงินเดือน|工资
สวัสดิการ|福利
ประกันสังคม|社会保险
ประกันสุขภาพ|医疗保险
เงินบำนาญ|养老金
การศึกษา|教育
สาธารณสุข|公共卫生
โครงสร้างพื้นฐาน|基础设施
การขนส่ง|交通
การสื่อสาร|通信
พลังงาน|能源
สิ่งแวดล้อม|环境
การท่องเที่ยว|旅游
อสังหาริมทรัพย์|房地产
ตลาด|市场
ร้านค้า|商店
ห้างสรรพสินค้า|百货公司
ซูเปอร์มาร์เก็ต|超市
ร้านสะดวกซื้อ|便利店
ออนไลน์|在线
อีคอมเมิร์ซ|电子商务
โซเชียลมีเดีย|社交媒体
เทคโนโลยี|科技
นวัตกรรม|创新
การวิจัย|研究
การพัฒนา|发展
การแข่งขัน|竞争
กลยุทธ์|策略
การตลาด|市场
โฆษณา|广告
แบรนด์|品牌
ลูกค้า|客户
ผลิตภัณฑ์|产品
บริการ|服务
คุณภาพ|质量
ราคา|价格
มูลค่า|价值
ต้นทุน|成本
การออม|储蓄
การใช้จ่าย|消费
หนี้สิน|债务
สินทรัพย์|资产
สถาบันการเงิน|金融机构
