สีแดง|红色
สีน้ำเงิน|蓝色
สีเขียว|绿色
สีเหลือง|黄色
สีดำ|黑色
สีขาว|白色
สีชมพู|粉色
สีม่วง|紫色
สีส้ม|橙色
สีน้ำตาล|棕色
สีเทา|灰色
สีเงิน|银色
สีทอง|金色
สีฟ้า|浅蓝色
สีครีม|米色
สีน้ำตาลอ่อน|浅棕色
สีน้ำตาลเข้ม|深棕色
สีแดงสด|亮红色
สีแดงเข้ม|深红色
สีแดงอ่อน|浅红色
สีน้ำเงินสด|亮蓝色
สีน้ำเงินเข้ม|深蓝色
สีน้ำเงินอ่อน|浅蓝色
สีเขียวสด|亮绿色
สีเขียวเข้ม|深绿色
สีเขียวอ่อน|浅绿色
สีเหลืองสด|亮黄色
สีเหลืองเข้ม|深黄色
สีเหลืองอ่อน|浅黄色
สีชมพูสด|亮粉色
สีชมพูเข้ม|深粉色
สีชมพูอ่อน|浅粉色
สีม่วงสด|亮紫色
สีม่วงเข้ม|深紫色
สีม่วงอ่อน|浅紫色
สีส้มสด|亮橙色
สีส้มเข้ม|深橙色
สีส้มอ่อน|浅橙色
สีเทาสด|亮灰色
สีเทาเข้ม|深灰色
สีเทาอ่อน|浅灰色
สีเงินสด|亮银色
สีเงินเข้ม|深银色
สีทองสด|亮金色
สีทองเข้ม|深金色
สีฟ้าสด|亮天蓝色
สีฟ้าเข้ม|深天蓝色
สีครีมสด|亮米色
สีครีมเข้ม|深米色
ลาย|图案
ลายทาง|条纹
ลายจุด|波点
ลายกราฟิก|图案
ลายดอกไม้|花卉图案
ลายเสือ|虎纹
ลายม้าลาย|斑马纹
ลายตาราง|格子
ลายสก๊อต|苏格兰格子
ลายพราง|迷彩
ลายทหาร|军事图案
ลาย几何|几何图案
ลายเพชร|钻石图案
ลายลูกไม้|蕾丝图案
ลายปัก|刺绣图案
ลายพิมพ์|印花
ลายพิมพ์ดิจิทัล|数码印花
ลายพิมพ์มือ|手工印花
ลายพิมพ์_OS|胶印
ลายพิมพ์_screens|丝网印刷
ลายพิมพ์_subli|热升华印花
ลายพิมพ์_direct|直喷印花
ลายพิมพ์_water|水浆印花
ลายพิมพ์_plastisol|胶浆印花
ลายพิมพ์_foil|烫金印花
ลายพิมพ์_flock|植绒印花
ลายพิมพ์_puff|发泡印花
ลายพิมพ์_glow|夜光印花
ลายพิมพ์_magnetic|磁性印花
ลายพิมพ์_thermal|温变印花
ลายพิมพ์_photochromic|光变印花
สี|颜色
สีสรร|色彩
สีสรรค์|色彩
โทนสี|色调
ระดับสี|色阶
ความสว่าง|亮度
ความมืด|暗度
ความอิ่มตัว|饱和度
ความเข้ม|强度
ความจ้า|鲜艳度
ความหม่น|灰度
ความสด|鲜艳度
ความเก่า|旧度
ความใหม่|新度
ความสะอาด|干净度
ความสกปรก|脏度
ความเรียบ|光滑度
ความขรุขระ|粗糙度
ความนุ่ม|柔软度
ความแข็ง|硬度
ความยืดหยุ่น|弹性
ความหนา|厚度
ความบาง|薄度
ความหนัก|重量
ความเบา|轻度
ความเร็ว|速度
ความช้า|慢度
ความสูง|高度
ความต่ำ|低度
ความกว้าง|宽度
ความแคบ|窄度
ความยาว|长度
ความสั้น|短度
ความลึก|深度
ความตื้น|浅度
ความใกล้|近度
ความไกล|远度
ความร้อน|热度
ความเย็น|冷度
ความอบอุ่น|温暖度
ความชื้น|湿度
ความแห้ง|干燥度
ความเปียก|湿润度
ความมัน|油腻度
ความแห้งกร้าน|干燥度
ความชุ่มชื้น|滋润度
ความใส|透明度
ความขุ่น|浑浊度
ความเงา|光泽度
ความด้าน|哑光度
ความมันวาว|亮光度
ความ Matte|哑光度
ความ Glossy|亮光度
ความ Satin|缎面度
ความ Metallic|金属度
ความ Pearl|珍珠度
ความ Chrome|镀铬度
ความ Neon|霓虹度
ความ Fluorescent|荧光度
ความ Phosphorescent|磷光度
ความ UV|紫外线度
ความ IR|红外线度
ความ X-Ray|X射线度
ความ Gamma|伽马度
ความ Beta|贝塔度
ความ Alpha|阿尔法度
ความ Delta|德尔塔度
ความ Theta|西塔度
ความ Omega|欧米伽度
ความ Sigma|西格玛度
ความ Lambda|拉姆达度
ความ Pi|圆周率度
ความ Epsilon|艾普西龙度
ความ Zeta|泽塔度
ความ Eta|伊塔度
ความ Iota|约塔度
ความ Kappa|卡帕度
ความ Mu|缪度
ความ Nu|纽度
ความ Xi|克西度
ความ Omicron|奥密克戎度
ความ Rho|柔度
ความ Tau|陶度
ความ Upsilon|宇普西龙度
ความ Phi|斐度
ความ Chi|希度
ความ Psi|普赛度
สีแดงกุหลาบ|玫瑰红
สีแดงเลือดหมู|猪血红
สีแดงชาด|朱砂红
สีแดงชา|茶红
สีแดงngrx|砖红
สีแดงประทัด|鞭炮红
สีแดงตรุษจีน|春节红
สีแดงbut|樱桃红
สีแดงstrawberry|草莓红
สีแดงruby|红宝石色
สีแดงcoral|珊瑚红
สีแดงsalmon|鲑鱼红
สีแดงtomato|番茄红
สีแดงapple|苹果红
สีแดงfire|火红
สีแดงblood|血红
สีแดงcherry|樱桃红
สีแดงwine|酒红
สีแดงburgundy|勃艮第红
สีแดงmaroon|栗红
สีแดงcrimson|深红
สีแดงscarlet|猩红
สีแดงvermillion|朱红
สีแดงcarmine|胭脂红
สีแดงmagenta|品红
สีแดงfuchsia|紫红
สีแดงpink|粉红
สีแดงhot pink|亮粉红
สีแดงbaby pink|婴儿粉
สีแดงpale pink|浅粉红
สีแดงlight pink|淡粉红
สีแดงdark pink|深粉红
สีแดงdusty rose|灰粉红
สีแดงmauve|淡紫红
สีแดงlavender|薰衣草紫
สีแดงlilac|丁香紫
สีแดงviolet|紫罗兰
สีแดงpurple|紫色
สีแดงplum|梅紫
สีแดงgrape|葡萄紫
สีแดงeggplant|茄子紫
สีแดงaubergine|深紫
สีแดงindigo|靛蓝
สีแดงnavy|海军蓝
สีแดงroyal blue|宝蓝
สีแดงcobalt|钴蓝
สีแดงultramarine|群青
สีแดงcerulean|天蓝
สีแดงsky blue|天空蓝
สีแดงbaby blue|婴儿蓝
สีแดงpowder blue|粉蓝
สีแดงpowder|粉蓝
สีแดงlight blue|淡蓝
สีแดงbaby|婴儿蓝
สีแดงcornflower|矢车菊蓝
สีแดงperiwinkle|长春花蓝
สีแดงteal|青蓝
สีแดงturquoise|绿松石
สีแดงaqua|水蓝
สีแดงcyan|青色
สีแดงelectric blue|电光蓝
สีแดงsapphire|蓝宝石色
สีแดงlapis lazuli|青金石蓝
สีแดงmidnight blue|午夜蓝
สีแดงprussian blue|普鲁士蓝
สีแดงcaptain blue|船长蓝
สีแดงdenim|牛仔蓝
สีแดงjeans|牛仔蓝
สีแดงkhaki|卡其色
สีแดงcamel|骆驼色
สีแดงtan|棕褐
สีแดงbeige|米色
สีแดงivory|象牙白
สีแดงcream|奶油色
สีแดงoff-white|米白
สีแดงeggshell|蛋壳白
สีแดงpearl|珍珠白
สีแดงsnow|雪白
สีแดงmilk|奶白
สีแดงcloud|云白
สีแดงfog|雾白
สีแดงmist|薄雾白
สีแดงsmoke|烟灰白
สีแดงash|灰白
สีแดงstone|石头灰
สีแดงslate|石板灰
สีแดงcharcoal|炭灰
สีแดงgraphite|石墨灰
สีแดงpewter|锡灰
สีแดงsilver|银灰
สีแดงplatinum|铂灰
สีแดงsteel|钢灰
สีแดงiron|铁灰
สีแดงnickel|镍灰
สีแดงtitanium|钛灰
สีแดงaluminum|铝灰
สีแดงcopper|铜色
สีแดงbronze|青铜色
สีแดงbrass|黄铜色
สีแดงgold|金色
สีแดงrose gold|玫瑰金
สีแดงwhite gold|白金
สีแดงyellow gold|黄金
สีแดงchampagne|香槟金
สีแดงhoney|蜂蜜色
สีแดงamber|琥珀色
สีแดงcaramel|焦糖色
สีแดงtoffee|太妃糖色
สีแดงbutterscotch|奶油糖色
ส️ีแดงmaple|枫糖色
สีแดงcinnamon|肉桂色
สีแดงnutmeg|肉豆蔻色
สีแดงginger|姜色
สีแดงpepper|胡椒色
สีแดงchili|辣椒红
สีแดงpaprika|辣椒粉红
ส️ีแดงsaffron|藏红花黄
สีแดงturmeric|姜黄
สีแดงcurry|咖喱黄
สีแดงmustard|芥末黄
สีแดงlemon|柠檬黄
สีแดงbanana|香蕉黄
สีแดงpineapple|菠萝黄
สีแดงmango|芒果黄
สีแดงpapaya|木瓜黄
ส️ีแดงpineapple|菠萝黄
สีแดงsunflower|向日葵黄
สีแดงdaffodil|水仙黄
ส️ีแดงbuttercup|毛茛黄
ส️ีแดงprimrose|樱草黄
สีแดงcanary|金丝雀黄
ส️ีแดงgolden|金色
ส️ีแดงgoldenrod|秋麒麟黄
ส️ีแดงamber|琥珀色
ส️ีแดงtopaz|黄玉色
ส️ีแดงcitrine|黄水晶色
ส️ีแดงjade|翡翠绿
ส️ีแดงemerald|祖母绿
ส️ีแดงmalachite|孔雀石绿
ส️ีแดงforest|森林绿
ส️ีแดงolive|橄榄绿
ส️ีแดงsage|鼠尾草绿
ส️ีแดงmoss|苔藓绿
ส️ีแดงfern|蕨类绿
ส️ีแดงmint|薄荷绿
ส️ีแดงseafoam|海泡绿
ส️ีแดงaqua green|水绿
ส️ีแดงturquoise green|绿松石绿
ส️ีแดงjade green|翡翠绿
ส️ีแดงemerald green|祖母绿
ส️ีแดงforest green|森林绿
ส️ีแดงolive green|橄榄绿
ส️ีแดงsage green|鼠尾草绿
ส️ีแดงmoss green|苔藓绿
ส️ีแดงfern green|蕨类绿
ส️ีแดงmint green|薄荷绿
ส️ีแดงseafoam green|海泡绿
ส️ีแดงlime|酸橙绿
ส️ีแดงchartreuse|黄绿
ส️ีแดงapple green|苹果绿
ส️ีแดงgrass green|草绿
ส️ีแดงleaf green|树叶绿
ส️ีแดงtree green|树绿
ส️ีแดงplant green|植物绿
ส️ีแดงnature green|自然绿
ส️ีแดงspring green|春绿
ส️ีแดงsummer green|夏绿
ส️ีแดงautumn green|秋绿
ส️ีแดงwinter green|冬绿
สีเขียวอ่อน|浅绿
สีเขียวเข้ม|深绿
สีน้ำเงินอ่อน|浅蓝
สีน้ำเงินเข้ม|深蓝
สีแดงอ่อน|浅红
สีแดงเข้ม|深红
สีชมพูอ่อน|浅粉
สีชมพูเข้ม|深粉
สีส้มอ่อน|浅橙
สีส้มเข้ม|深橙
สีม่วงอ่อน|浅紫
สีม่วงเข้ม|深紫
สีเหลืองอ่อน|浅黄
สีเหลืองเข้ม|深黄
สีน้ำตาลอ่อน|浅棕
สีน้ำตาลเข้ม|深棕
สีเทาอ่อน|浅灰
สีเทาเข้ม|深灰
สีแสด|橙红
สีโอลีฟ|橄榄绿
สีฟ้า|天蓝
สีคราม|靛蓝
สีกรมท่า|藏青
สีฟ้าอ่อน|淡蓝
สีฟ้าเข้ม|深蓝
